TransactionID,CustomerID,Restaurant,Location,Date,Time,OrderType,PaymentMethod,ItemsOrdered,Subtotal,Discount,Tax,Tip,DeliveryFee,Total,ProcessingTimeMin,EmployeeID,Weather,PromotionCode,SatisfactionRating,TransactionType,RefundReason,OriginalTransactionID,IsDuplicate,IsRefund,DateTime,Year,Month,Day,DayOfWeek,Hour
10001,CUST0093,TacoTime,Chicago,2024-11-02,11:18:00,Dine-in,Gift Card,"Beans, Quesadilla, Burrito",19.47,2.87,1.37,1.8,0.0,19.77,38.0,EMP012,Clear,LOYALTY,4.0,Purchase,,,False,False,2024-11-02 11:18:00,2024,11,2,Saturday,11
10002,CUST0089,PizzaCo,New York,2024-11-02,13:27:00,Delivery,Cash,"Veggie Pizza, Chicken Wings, Meat Lovers Pizza, Salad",51.96,7.33,3.68,5.6,3.19,57.1,28.0,EMP025,Clear,,,Purchase,,,False,False,2024-11-02 13:27:00,2024,11,2,Saturday,13
10003,CUST0092,TacoTime,Houston,2024-11-02,18:34:00,Dine-in,Mobile App,"Beef Taco, Burrito",12.98,0.0,1.07,2.77,0.0,16.82,44.0,EMP006,Sunny,,2.0,Purchase,,,False,False,2024-11-02 18:34:00,2024,11,2,Saturday,18
10006,CUST0062,TacoTime,Phoenix,2024-11-02,16:26:00,Drive-thru,Cash,"Beef Taco, Fish Taco, Quesadilla",16.97,0.0,1.4,0.0,0.0,18.37,7.0,EMP001,Rainy,,3.0,Purchase,,,False,False,2024-11-02 16:26:00,2024,11,2,Saturday,16
10007,CUST0090,SandwichShop,Los Angeles,2024-11-02,11:31:00,Dine-in,Mobile App,"Turkey Club, Chicken Bacon Ranch, Chicken Bacon Ranch",28.47,0.0,2.35,3.91,0.0,34.73,27.0,EMP015,Rainy,,3.0,Purchase,,,False,False,2024-11-02 11:31:00,2024,11,2,Saturday,11
10008,CUST0066,TacoTime,Los Angeles,2024-11-02,16:05:00,Takeout,Gift Card,"Burrito, Churros, Mexican Rice, Soda",17.66,0.0,1.46,0.0,0.0,19.12,10.0,EMP001,Sunny,,,Purchase,,,False,False,2024-11-02 16:05:00,2024,11,2,Saturday,16
10009,CUST0137,SandwichShop,Phoenix,2024-11-02,12:23:00,Delivery,Credit Card,"Soup, Cookie, Soda",8.67,0.0,0.72,0.95,3.75,14.09,36.0,EMP030,Cloudy,,1.0,Purchase,,,False,False,2024-11-02 12:23:00,2024,11,2,Saturday,12
10010,CUST0130,BurgerPlace,Houston,2024-11-02,19:18:00,Drive-thru,Gift Card,"Cheeseburger, Chicken Sandwich",17.98,0.0,1.48,0.0,0.0,19.46,10.0,EMP023,Cloudy,,5.0,Purchase,,,False,False,2024-11-02 19:18:00,2024,11,2,Saturday,19
10013,CUST0099,PizzaCo,Chicago,2024-11-02,19:55:00,Drive-thru,Cash,Soda,2.49,0.0,0.21,0.0,0.0,2.7,5.0,EMP008,Rainy,,,Purchase,,,False,False,2024-11-02 19:55:00,2024,11,2,Saturday,19
10014,CUST0099,PizzaCo,New York,2024-11-02,11:17:00,Takeout,Gift Card,"Breadsticks, Veggie Pizza",21.98,0.0,1.81,0.0,0.0,23.79,18.0,EMP004,Rainy,,,Purchase,,,False,False,2024-11-02 11:17:00,2024,11,2,Saturday,11
